Title,Description,Categories
 10 Fingers ,"Great game for getting to know each other in a new group.  All players in a circle, holding all 10 fingers up in the air.  One person at a time, start asking personal questions that take yes-no answers; whoever cannot answer yes to a question, drops a finger.  Last person with a finger left wins. Good questions are things like ""I have a cat"", ""I have never stolen anything"" and so on.												"," Icebreakers
 Warm-up
"
 3 Lines ," Description A great exercise to train scene start-ups. 2 players initiate a scene; the scene is broken off after 3 lines.  The goal is to establish as much as possible as fast as possible.  We want to understand the  Platform, the  Characters , the  Environment and the points of view or drivers of the characters. Once 3 lines of dialog have been uttered, restart a different scene.												"," Characters
 Environment
 Exercise
 Look and Listen
"
 3 Series ," Description Everyone in a circle.  Pick a category (e.g. make of cars, girls names, kinds of food, kinds of plants, whatever).  First person states an example of the category, and points to someone else.  Keep pointing.  That someone else does the same, with a different item in the category, and so forth, until everyone points at one person. Then repeat the pattern.  Make eye contact when passing your item to thenext person.  Drop the pointing arms when everyone is comfortable and the seriesis collectively memorized. Then do the same with a second category, and make sure the pointing patternis different.  Repeat till everyone is comfortable. Then do the same exercise, without pointing, and running the 2 categories at the same time.  Add a third, fourth category if you wish.  No pointing arms any more! The idea is not only to listen for the item right before yours in the series (so you know when it`s your turn), but also to make sure that when you pass an item to someone else, that someone else actually hears you.  If not, then repeat your item, to ensure the series does not get broken.  See also  You. Variations  Add another pattern by taking the next person's place in the circle.												"," Concentration
 Exercise
 Look and Listen
"
 3 some ,"Fun warm-up.  One player offers something, e.g. I am a slice of cheese.  2nd player jumps in and adds something to the offer, e.g. I am a slice of bread.  3rd player jumps in and again adds to the setup, e.g.I am a pickle.  First player leaves, taking one of the others with him.  Restart from the remaining player, who restarts by saying what/who she is.												"," Association
 Warm-up
"
 Accepting Circle ," Description Get everyone in a big circle.  One player starts by making a little gesture, perhaps with a little sound.His or her neighbor then tries and does exactly the same.  And so on.  Althoughwe expect the gesture/sound not to change, it will. Notes Watch for  movements that suddenly change left/right arm or leg.  This isnot really supposed to happen, but it will.  Once happened, it should be accepted by the next player.Also watch/listen for little moans or sighs that players might make before or after their turn - these should also be taken over by the next player.												"," Accepting
 Concentration
 Exercise
 Warm-up
"
" Narrative, Color, Emotion "," Description \One players tells a story, solo.  3 other players tag the player if they want to hear more action (narrative), more emotion or more color.  By color we mean environmental detail, as in how does it smell, temperature, weather, colors, sounds.Also known as Also known as ACE. - for Action, Color, Emotion.												"," Environment
 Exercise
 Narration
 Object Work
 Solo
"
 Action Syllables ," Description Great warm-up that also helps a new group to learn each other's names. Everyone in a circle.  First person says his name, making a gesture (an action) for every syllable.  Mary has 2 syllables, so she does something like ""Ma-"" (wave right hand) ""-ry"" (claps in hands).  Everyone repeats this.  Then the second person calls his name, again with a gesture per syllable.  Group repeats, and then repeats all previous names and syllables.												"," Concentration
 Energy
 Icebreakers
 Warm-up
"
 Simple Continuation ,"A scene is started, played by 2 to 4 players.  Mid-scene the MC interrupts, andall characters are replaced by new players.  The new players should take overthe original characters, and stick to the story that was being developed. Also known as Understudy. Also known as Actor Switch. 												"," Continuation
 Performance
"
 Switcheroo ,"This is like  Simple Continuation , except that the MC interrupts the scene several times, and at each interruption all actors in the scene get switched; no new actors join in, and no actors leave.Also known as Actor Switch. .See also  Hat Continuation .												"," Continuation
 Performance
"
 Actor`s Nightmare ,"This one is played by 2 players, one of which gets their lines on paper (like a script).  The other player should justify whatever the scripted player says. Notes You can use existing plays for this, but also lines from comics.Whoever gets the script should not forget to play/act - only her lines are defined, not what shedoes, or how she does the lines. Also known as Playbook. . See  Don`t Mess with Textus for a similar handle. 												"," Limitations
 Performance
"
 Adjective Scene ,"Ask for an adjective (e.g. sad).  Play a scene in which the players are as sad as possible. Alternatively, give every player a different adjective.												"," Limitations
 Performance
"
 Make More Interesting ,"Simple exercise, useful for players that are too verbal. One player starts a scene.  As soon as the trainer claps his hands, the player needs to make whatever he was doing more interesting, withoutadvancing.  If our player was opening a briefcase at the clap, he needs to make `opening a briefcase` more interesting; he is not allowed to take something out of the briefcase, as that would be advancing; player needs to stick to `opening the briefcase`. Notes Simple to explain but not so easy to play. When done well you move into the clownesque.  Think about Chaplin, Laurel & Hardy or Mr. Bean. Variations At a second clap, allow the player to advance the scene.  Also known as Advancing and Expanding.												"," Exercise
"
 Aerobics ," Description This is a fun observation game.Place all players in a line.  The first player starts walking around the room,walking a large circle.  The second player starts following the first one, and tries to move like the first player.   After a few rounds, the first playergoes to the back of the line, and the third player starts following and imitating the second one. Notes Tell players to be themselves; don`t try and walk around funny (it`s notthe Ministry of Silly Walks after all).												"," Characters
 Exercise
 Icebreakers
 Look and Listen
"
 Three Rules ,"Get 3 rules from the audience, e.g. players have only one arm, players can`t use a word that contains an `s` and after every question utteredplayers needs to yell `Yess!`.  Players then play a scene, obeying the 3 rules.  For examples of what else might be used as a rule see theother games in the  Limitations category.Also known as Ahab and the Whale. (beats us why)												"," Limitations
 Performance
"
 Blind Lead ," Description One player is blindfolded, and the room is filled with obstacles (put a couple of chairs everywhere, leave all kinds of junk on the floor).  The idea is that the rest of the group will lead the blindfolded player throughthe room, by talking.  Also known as Airplane. A helpful reader offered us an explanation for the name `Airplane`: The blindfoldee (or just eyesclosed) is led through a maze composed of furniture and the other actors.He is an ""Airplane"" lost in the fog being talked down by the ""Air TrafficController"", who must remain in his/her ""Tower"". Standing on achair/rehearsal block lends visibility for the controller. The airplanealso only has a limited amount of fuel left (1-3 minutes, whatever) toreach a safe landing (arriving at the Tower). The airplane is also allowedtwo ""brushes""-limited contact with an obstacle. The third brush or adirect hit or stepping on something directly causes a ""crash"". They maystep around, over or under the obstacles. Also, the airplane can only flyforward. It can turn in any direction, however. The directions must begiven from the pilot`s point of view; a good exercise for fledglingdirectors. You can also destroy all the trust you`ve built up in yourclass by completely clearing the deck and torturing the Pilot. Believe us,someone will suggest it.Also known as Obstacle Course. Also known as Mine Field. See also  Fingertips for a similar exercise. 												"," Exercise
 Group
 Trust
"
 Ali Baba and the 40 Thieves ," Description Excellent warm-up.  Everyone in a circle.  We are going to establish a rhythm,by saying, all together `Ali Baba and the 40 Thieves`.  Keep repeating this.One person starts making a gesture to this rhythm, say, tapping your head with you left hand.  When the sentence is repeated, the player next to her takes overthis gesture, while the first one starts a completely different new gesture.  Third timethe sentence is done, player three does the first gesture, player two does the second gesture and player one invents a new one again.  And so on. This is also a concentration game, though it`s not really difficult.  All one has to do is watch the previous player, and next time, take over her gesture.When you`re watching what everyone else is doing you`re going to get lost though.												"," Concentration
 Energy
 Warm-up
"
 Alien Dance Party ,"All players in a circle.  Someone starts to dance, feels it for a bit, turns to the person to their right and that person does their best to do the exact same dance.  When the person who initiated the dance feels the person got it down they stop dancing and the other person goes on awhile till they create a new dance and goes to the next person. Quite intense and quite fun!												"," Exercise
 Warm-up
"
 Alien Tiger Cow ," Description Fun game to warm up and to teach players some  Chivalry .  Everyone in a circle.  There are 3 things a player can be: An alien: hold you index fingers up next to your head, as little antenna`s and say `Bleeb bleeb`, bending inwards into the circle; A cow: bend forward, hold your right hand on your tummy and go `Moooo` A tiger: push your right hand forward, imitating a claw and roar. On your sign, every player decides to become one of the three.  The idea is for everyone to become the same, which obviously won`t be the case, the first time.  We re-do this until everyone is in sync. Variations Invent your own animals (or things) and let players become juke boxes, birds,whatever.Play `majority wins`:  animals/things that are most in the minority drop out.Also known as Rock Paper Scissors.												"," Exercise
 Group
 Warm-up
"
 Excluding ,"4 players play a scene, in which one of the players gets excluded.   Notes This is a group exercise, in the sense that players should be sensing where the majority of the group is going (see  Alien Tiger Cow ).Tell players not to be afraid of `being nasty` - be extreme in your exclusion (that makes it easier, also for theplayer that is excluded - see  Mr. Nice Guy ).  Whoever gets excluded should gladly accept this and react accordingly.Excluded players can go to extremes to be re-included - hilariously funny if even this is thoroughly ignored by the others. Variations Let the exclusion evolve; allow a player that got excluded to get 2 others to join him and exclude the fourth one.  This only works if the excluded player first allows herself to be excluded (a little  Chivalry here). Also known as Alliances. . This game was originally created as a pattern game for long form shows at the Theatresports London Impro Lab in the late 1980`s.  The whole point of the game is NOT to actively try and exclude anyone.  The exclusion of one player should happen as a result of the other players making alliances with one another.  If you don`t do this the scene doesn`t form very good patterns and the players get too competitive.   You also miss the slow, sliding status drops and the desperate attempts to hook into an existing alliance, that happen when a player is starting to nrealize that they are being excluded.A good way to start this game would be: Start in a black-out seated round a table While the lights are still down the entire ensemble starts to laugh (as if someone has just told the punchline to a hilarious joke) The lights slowly fade up as the cast`s laughter winds down and the alliances begin to form By the end of the scene, which climaxes in a final, dramatic exclusion, we usually end up with four to six threads and a clear protagonist  Big thanks to  Alan MarriottofCrunchy Frog Collective and Grand Theft Impro(London, England) for the additional info on Alliances.												"," Exercise
 Group
"
 Alliteration Introduction ," Description Excellent game for players to get to know each other`s names.Everyone in a circle.  A player starts the game by introducing himself by making a gesture, and alliterating to his name, e.g. ""I`m Wonderful Wendy"" or ""I`m Smart Steve"".  The next player point to the first, repeatsthe previous player`s name, attribute and gesture, and does something similar about himself.And so on.  Game ends with the first player having to do each other player`s gesture, repeating theirnames and attributes.												"," Concentration
 Exercise
 Icebreakers
"
 Alliterations ," Description You will need a tennis ball or a towel tied in a knot for this one.  Everyone sitting or standing in a circle.  You give one person the ball, and ask him toname as many words as possible that start with a `P` (or any other letter), in the time it takes for the ball to get passed along the circle.  Doubles don`t count, obviously. Notes Tell players not to watch the ball go round when they`re `it` - they`ll just panic and freeze.  Tell them to try this with closed eyes. Variations  Pair up the players and use a stopwatch.  Ask the left players on the left to nameas many words as possible starting with a `t`, and ask their partners to count, for 15 or 20 seconds.  Then switch.												"," Association
 Concentration
 Exercise
 Warm-up
"
 Alphabet Circle ," Description Great warm-up game to sharpen concentration.Everyone in a circle.  One player starts by throwing an `A` to another player.That player throws as fast as possible a `B` to someone else.  And so on.If you work with a large group, you can divide them into 2 circles, call `em Team Gold and Team Silver, and time how fast they can get to `Z`. Variations Any player has the option to change the sequence from A-Z to 1-10 and vice versa.Time it. Or change to 1-10												"," Concentration
 Exercise
 Warm-up
"
